ubr,t4,t5,t6
47,0.8194969538508402,0.7710269102473151,0.735734827009162
44,0.8283141518515511,0.7776548603600494,0.7431981892568919
41,0.8340519078813715,0.781718617946525,0.7500719260847761
38,0.8392391054891039,0.7858456662338514,0.7566733818484299
35,0.8443284395654923,0.7899565589907017,0.7630873489738114
32,0.8482159265629753,0.794589560103119,0.7682489062953082
29,0.8507024065756293,0.7982740549212701,0.7722083728321297
26,0.8516240819693947,0.8008305890106314,0.7749669579069788
23,0.850331717706153,0.802604017731875,0.777436556730848
20,0.8463649606212562,0.8045387492202746,0.7803577121648919
17,0.8388408346516804,0.807317588210541,0.7842364168840249
14,0.8263294715773887,0.8101651803365789,0.789309683290529
11,0.8084266396246443,0.8107695260911075,0.7931675372324674
8,0.7916231777701448,0.8048039654953587,0.7920120851384574
